1,Beans - Butter Lrg Lima,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,85.0,TRUE,France
2,Pineapple - Golden,mauris morbi non lectus aliquam sit amet diam in magna bibendum,24.61,FALSE,Spain
3,Pasta - Fettuccine Egg Fresh,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,75.79,TRUE,France
4,Bamboo Shoots - Sliced,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,32.97,TRUE,Poland
5,Sauce - Black Current Dry Mix,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,7.83,TRUE,Spain
6,Cream - 35%,nonummy integer non velit donec diam neque vestibulum eget vulputate ut,87.06,FALSE,France
7,Mushroom - Chanterelle Dry,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,13.77,FALSE,Poland
8,Soup - Clam Chowder Dry Mix,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,44.37,FALSE,France
9,Veal - Leg Provimi - 50 Lb Max,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,14.86,TRUE,France
10,Guava,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,89.52,FALSE,France
11,Soup - Campbells Beef Barley,consequat morbi a ipsum integer a nibh in quis justo,73.45,TRUE,France
12,Bagel - Everything Presliced,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,54.67,TRUE,Poland
13,Dried Cranberries,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,87.28,TRUE,France
14,Mace Ground,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,95.81,FALSE,Poland
15,Pesto - Primerba Paste,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,12.54,FALSE,France
16,Soup - Campbells Chix Gumbo,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,97.33,TRUE,France
17,Nantucket Apple Juice,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,72.14,FALSE,France
18,Versatainer Nc - 8288,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,6.99,FALSE,Poland
19,Corn Shoots,leo odio porttitor id consequat in consequat ut nulla sed accumsan,54.5,FALSE,France
20,Raisin - Dark,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,75.76,FALSE,Poland
21,Pork Loin Cutlets,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas,44.69,TRUE,France
22,Mace Ground,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,39.88,FALSE,France
23,Water - Aquafina Vitamin,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,52.97,TRUE,France
24,Tomato - Green,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,11.47,FALSE,Poland
25,Tea - Lemon Green Tea,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,15.26,TRUE,Poland
26,Crush - Orange 355ml,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,38.03,TRUE,Poland
27,Wine - Fat Bastard Merlot,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,38.91,FALSE,Poland
28,Yucca,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,99.5,FALSE,Poland
29,Duck - Fat,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,49.39,FALSE,Poland
30,Rabbit - Whole,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,22.81,FALSE,Poland
31,Pasta - Canelloni,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,39.57,FALSE,France
32,Pork - Loin Boneless,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,80.52,FALSE,Poland
33,Capon - Breast Double Wing On,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,83.13,FALSE,France
34,Lid - Translucent 3.5 And 6 Oz,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,25.14,TRUE,Poland
35,Nut - Pistachio Shelled,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,38.82,FALSE,Poland
36,Calaloo,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,81.98,TRUE,Spain
37,Wine - Toasted Head,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,46.58,TRUE,Poland
38,Cookies Oatmeal Raisin,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue,13.92,FALSE,France
39,Chicken - Thigh Bone In,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,65.1,TRUE,Poland
40,Eggs - Extra Large,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus,6.99,TRUE,Spain
41,Crab - Claws 26 - 30,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,60.05,TRUE,Poland
42,Wine - Savigny - Les - Beaune,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi,90.91,FALSE,France
43,Rice Paper,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis,28.01,TRUE,Poland
44,Lettuce Romaine Chopped,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient,42.25,FALSE,Poland
45,Beef Ground Medium,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh,22.97,FALSE,Poland
46,Salmon - Sockeye Raw,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,51.46,FALSE,Poland
47,Nacho Chips,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,55.79,FALSE,Spain
48,Chambord Royal,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,17.4,TRUE,Spain
49,Miso - Soy Bean Paste,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,93.96,TRUE,Poland
50,Wine - Guy Sage Touraine,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,66.12,FALSE,France
51,Cornflakes,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,2.92,FALSE,France
52,Longos - Grilled Chicken With,elementum in hac habitasse platea dictumst morbi vestibulum velit id,16.22,FALSE,Poland
53,Aspic - Light,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,32.28,TRUE,Poland
54,Butter - Pod,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,39.53,TRUE,Poland
55,Sugar - Splenda Sweetener,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,72.0,FALSE,Poland
56,Milk - Condensed,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,50.65,TRUE,Poland
57,Blueberries - Frozen,egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,87.09,TRUE,France
58,Appetizer - Cheese Bites,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,35.83,TRUE,Spain
59,Nectarines,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices,27.85,TRUE,Poland
60,Tart - Lemon,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,38.33,TRUE,Poland
61,Tortillas - Flour 10,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,20.37,TRUE,Poland
62,Pear - Packum,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,76.82,TRUE,Poland
63,Juice - Grape White,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,31.96,TRUE,Poland
64,Pork - Smoked Back Bacon,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,22.65,FALSE,Poland
65,Wine - Sherry Dry Sack William,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,59.57,FALSE,Poland
66,Aromat Spice / Seasoning,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,25.67,FALSE,France
67,Mix Pina Colada,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,52.87,TRUE,Poland
68,Beef - Flank Steak,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,67.06,FALSE,Poland
69,Fenngreek Seed,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,31.81,FALSE,Poland
70,Cup - Paper 10oz 92959,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,84.99,TRUE,Poland
71,Bouq All Italian - Primerba,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus,33.84,FALSE,Poland
72,Turkey - Breast Boneless Sk On,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,84.24,TRUE,France
73,Wine - Niagaravqa Reisling,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,65.2,TRUE,France
74,Wine - Domaine Boyar Royal,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,11.58,FALSE,Poland
75,Wonton Wrappers,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,64.83,FALSE,France
76,Kolrabi,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam,71.49,TRUE,France
77,Pasta - Penne Lisce Dry,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,76.22,TRUE,France
78,Juice - Apple Cider,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,1.2,FALSE,France
79,Muffin - Blueberry Individual,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in,02.02,FALSE,France
80,Butter - Salted Micro,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,5.99,FALSE,Poland
81,Juice - Tomato 10 Oz,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,98.93,TRUE,France
82,Baking Powder,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin,60.08,FALSE,France
83,Beer - Sleemans Honey Brown,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,64.37,TRUE,France
84,Jack Daniels,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,64.26,TRUE,France
85,Paper - Brown Paper Mini Cups,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,47.29,FALSE,Poland
86,Turnip - Mini,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,10.71,TRUE,France
87,Remy Red,pede ac diam cras pellentesque volutpat dui maecenas tristique est et,10.64,FALSE,Poland
88,Flour - Teff,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,18.63,FALSE,France
89,Okra,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede,39.72,TRUE,Poland
90,Cup Translucent 9 Oz,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,38.01,FALSE,Poland
91,Basil - Pesto Sauce,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,16.75,TRUE,Poland
92,Pasta - Penne Primavera Single,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,32.57,TRUE,Poland
93,Chocolate Bar - Reese Pieces,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,77.48,TRUE,Poland
94,Chocolate - Unsweetened,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,43.91,FALSE,France
95,Beans - Fava Canned,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,29.97,FALSE,France
96,Pork - Belly Fresh,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,75.13,TRUE,France
97,Temperature Recording Station,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo,87.51,TRUE,Poland
98,Food Colouring - Blue,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,13.47,FALSE,France
99,Jameson Irish Whiskey,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,48.14,TRUE,Poland
100,Tart Shells - Savory 2,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,18.92,TRUE,Poland
101,Wine - Cava Aria Estate Brut,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,54.4,TRUE,France
102,Gelatine Leaves - Bulk,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,5.26,TRUE,Poland
103,Goulash Seasoning,donec ut mauris eget massa tempor convallis nulla neque libero,72.34,TRUE,France
104,Cookie Chocolate Chip With,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,12.58,FALSE,France
105,Split Peas - Yellow Dry,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,37.01,FALSE,France
106,Gatorade - Xfactor Berry,fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,82.81,TRUE,Poland
107,Lobster - Cooked,purus aliquet at feugiat non pretium quis lectus suspendisse potenti,8.67,TRUE,France
108,Oil - Sunflower,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,43.77,TRUE,France
109,Rum - Spiced Captain Morgan,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla,67.37,TRUE,France
110,Beef - Tongue Cooked,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,96.91,FALSE,France
111,Bread - Wheat Baguette,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,69.05,TRUE,France
112,Cheese Cheddar Processed,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,52.9,TRUE,Poland
113,Rum - Dark Bacardi Black,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,7.46,TRUE,Poland
114,Rum - Dark Bacardi Black,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,95.93,FALSE,Spain
115,Carbonated Water - Cherry,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,77.84,FALSE,Poland
116,Sprouts Dikon,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,14.03,TRUE,Poland
117,Steamers White,ut nulla sed accumsan felis ut at dolor quis odio consequat,78.48,TRUE,Poland
118,Aromat Spice / Seasoning,in hac habitasse platea dictumst maecenas ut massa quis augue,58.23,FALSE,France
119,Sugar - Splenda Sweetener,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,37.05,FALSE,Poland
120,Lamb - Loin Chops,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,95.09,FALSE,France
121,Rice - Sushi,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,75.65,TRUE,France
122,Baking Powder,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,10.83,FALSE,Poland
123,Octopus,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,10.57,TRUE,France
124,Olives - Green Pitted,eu orci mauris lacinia sapien quis libero nullam sit amet,08.08,TRUE,Poland
125,Butter - Salted Micro,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,32.8,TRUE,Poland
126,Carbonated Water - Blackcherry,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,78.81,FALSE,Poland
127,Cookies - Englishbay Chochip,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,89.78,FALSE,France
128,Wine - Tribal Sauvignon,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,64.53,TRUE,Poland
129,Chips Potato Swt Chilli Sour,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,14.11,FALSE,France
130,Table Cloth 53x69 White,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,97.31,FALSE,Poland
131,Ecolab - Medallion,fusce consequat nulla nisl nunc nisl duis bibendum felis sed,38.11,FALSE,Poland
132,Asparagus - White Fresh,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,08.03,TRUE,Poland
133,Bagel - Everything,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,96.52,TRUE,Poland
134,Compound - Passion Fruit,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,75.17,TRUE,France
135,Wine - Shiraz Wolf Blass Premium,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,94.11,TRUE,France
136,Table Cloth - 53x69 Colour,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin,94.05,TRUE,Poland
137,Roe - White Fish,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,82.53,TRUE,France
138,Squid - Tubes / Tenticles 10/20,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,18.02,TRUE,Poland
139,Cake - Cheese Cake 9 Inch,nibh ligula nec sem duis aliquam convallis nunc proin at,65.66,FALSE,Poland
140,Basil - Seedlings Cookstown,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,31.12,FALSE,France
141,Pork - Shoulder,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,56.92,FALSE,France
142,Beef - Top Butt,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,91.46,TRUE,Poland
143,Soup V8 Roasted Red Pepper,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,62.39,TRUE,France
144,Asparagus - White Canned,lectus in est risus auctor sed tristique in tempus sit amet sem fusce,55.82,TRUE,Poland
145,Bread - Petit Baguette,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo,87.06,FALSE,Poland
146,Filling - Mince Meat,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,62.33,FALSE,Poland
147,Rum - Dark Bacardi Black,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,06.07,FALSE,France
148,Quail - Whole Boneless,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,5.54,FALSE,Poland
149,Baking Soda,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,16.34,FALSE,France